가맹점명,주소
해미옥,13524) 경기도 성남시 분당구 대왕판교로606번길 41 (삼평동) 지하 1층 B02호
유브유부 판교트라이타워점,13453) 경기도 성남시 수정구 금토로80번길 22 (금토동) 1층 110호
서울미트볼(수내점),13595) 경기도 성남시 분당구 백현로101번길 17 (수내동) 1층 107호
오늘은샐러드,13493) 경기도 성남시 분당구 판교역로 240 (삼평동) 지하 1층
노바,13530) 경기 성남시 분당구 판교역로 145 타워2동 1층 117호 
뚜레쥬르(카페판교역점),13529) 경기도 성남시 분당구 분당내곡로 117 (백현동) 그레이츠판교 1층 106호
화포식당(판교점),13494) 경기도 성남시 분당구 대왕판교로 660 (삼평동) 2층 240호 
노바,"13530) 경기도 성남시 분당구 판교역로 145 (백현동, 알파리움2단지) 1층 117호"
투쿡(정자본점),13558) 경기도 성남시 분당구 성남대로331번길 3-13 (정자동) 108호
일월의 제면소(판교점),13524) 경기도 성남시 분당구 판교역로192번길 14-2 (삼평동) 골드타워 117
양문(판교점),"13494) 경기도 성남시 분당구 대왕판교로 660 (삼평동) 2층 235호(삼평동, 유스페이스1)"
리치앤,"13494) 경기도 성남시 분당구 판교역로 231 (삼평동) ,1층 122호"
소해,13494) 경기도 성남시 분당구 대왕판교로 660 (삼평동) 221호
야금야금,13453) 경기도 성남시 수정구 금토로80번길 51 (금토동) 1층
카페 두레브,13486) 경기도 성남시 분당구 판교로255번길 9-22 (삼평동) 1층 141호
양재정육식당(판교점),13524) 경기도 성남시 분당구 분당내곡로 151 (삼평동) 1층 
조재벌식당,13494) 경기도 성남시 분당구 대왕판교로 670 (삼평동) 2층 224호
브라운돈까스(서현점),13591) 경기도 성남시 분당구 황새울로342번길 11 (서현동) 206호
리치앤,13494) 경기도 성남시 분당구 판교역로 231 (삼평동) 1층 122호
유이타바,13612) 경기도 성남시 분당구 내정로11번길 7 (정자동) 1층
양문(판교점),13494) 경기도 성남시 분당구 대왕판교로 660 (삼평동) 2층
오크베리(판교역점),13529) 경기도 성남시 분당구 분당내곡로 117 (백현동) 1층 101-3호
달콩,13612) 경기도 성남시 분당구 내정로7번길 5-1 (정자동) 1층
신가네 부대찌개,13612) 경기도 성남시 분당구 내정로11번길 11 (정자동) 1층
김명자낙지마당(정자점),13612) 경기도 성남시 분당구 불정로87번길 6 (정자동) 지하 1층
돌판하나,13612) 경기도 성남시 분당구 내정로7번길 8 (정자동) 1층
양재식당(판교점),"13524) 경기도 성남시 분당구 분당내곡로 151 (삼평동)  삼평동, 1층 "
조재벌식당,"13494) 경기도 성남시 분당구 대왕판교로 670 (삼평동) 2층 224호(삼평동, 유스페이스2)"
백청우칼국수,13612) 경기도 성남시 분당구 불정로77번길 4-9 (정자동) 1층
고향집삼계탕_QR,13612) 경기도 성남시 분당구 내정로11번길 13 (정자동) 1층
평안도왕순대(본점)_QR,13612) 경기도 성남시 분당구 내정로7번길 10-1 (정자동) 1층
돌판하나,13612) 경기도 성남시 분당구 내정로7번길 8 (정자동) 1층
함흥미식관,13612) 경기도 성남시 분당구 불정로77번길 15 (정자동) 1층
전주콩뿌리 콩나물국밥,13612) 경기도 성남시 분당구 불정로87번길 18 (정자동) 1층
전원미소,13612) 경기도 성남시 분당구 불정로65번길 3 (정자동) 1층
마린보이코다리1번가(분당정자점),13612) 경기도 성남시 분당구 불정로77번길 10 (정자동) 1층
도담 참숯닭갈비 봉평막국수_QR,13612) 경기도 성남시 분당구 내정로7번길 17 (정자동) 1층
스시생선가게,13612) 경기도 성남시 분당구 불정로77번길 4-6 (정자동) 1층
이디야(분당신기사거리점),13612) 경기도 성남시 분당구 불정로87번길 17
정성죽_QR,13612) 경기도 성남시 분당구 내정로7번길 7 (정자동) 1층
토속정_QR,13612) 경기도 성남시 분당구 내정로11번길 10-3 (정자동) 1층
빙토피아_QR,13612) 경기도 성남시 분당구 불정로65번길 6 (정자동) 1층
카산도(정자본점)_QR,13612) 경기도 성남시 분당구 불정로71번길 2 (정자동) 1층
신가네 부대찌개,13612) 경기도 성남시 분당구 내정로11번길 11 (정자동) 1층
달콩,13612) 경기도 성남시 분당구 내정로7번길 5-1 (정자동) 1층
파스쿠찌(분당KT계원점),13612) 경기도 성남시 분당구 정자동 139-7 파스쿠찌(분당KT계원점) 
란반_QR,13612) 경기도 성남시 분당구 내정로11번길 9 (정자동) 1층
이레스시,13612) 경기도 성남시 분당구 불정로65번길 1 (정자동) 1층
티씨오티씨(TCOTC)_QR,13612) 경기도 성남시 분당구 불정로71번길 4-4 (정자동) 1층
분당곱창_QR,13612) 경기도 성남시 분당구 내정로7번길 15-1 (정자동) 1층
설램,13560) 경기도 성남시 분당구 정자일로 135 (정자동) 디동 1층 106호
준 이자카야 라멘 초(덮)밥,13595) 경기도 성남시 분당구 황새울로200번길 9-7 (수내동) 1층
바나프레소(판교우림W시티점),13486) 경기도 성남시 분당구 판교로255번길 9-22 (삼평동) 1층 113호
제주 하르방 숯불구이,13494) 경기도 성남시 분당구 대왕판교로 660 (삼평동) 2층
